Date,GDP,Population,CPI,WPI,Import,Export,M3,Unemployment,PPP,Inflation_Rate,Industrial_Production,Market_Capitalization,Exchange_Rate,International_Debt,Interest_Rate,quarter,Percent_Change_GDP,Recession,Year
4/1/1996,3354.206188,979290432,40.45596878,0.400062536,359.8958122,364.6579995,6.16E+12,8.899999619,1638.486596,8.977149075,39.42875815,30.41661,35.06,6575,12,Q2,0,NO,1996
7/1/1996,3442.578278,985466038,42.13992281,0.418707801,390.4175795,364.0999046,6.38E+12,9.133333206,1652.245528,8.37285059,39.24476743,29.85939667,35.76,6911,12,Q3,2.634664786,NO,1996
10/1/1996,3558.757569,991641644,42.92029175,0.425091777,406.3511468,365.0199711,6.61E+12,9.366666794,1666.004461,7.768552105,39.59514411,29.30218333,35.93,7104,12,Q4,3.374775582,NO,1996
1/1/1997,3643.290067,997817250,43.16672405,0.425801108,459.9951608,376.1500611,6.90E+12,9.600000381,1679.763393,7.16425362,40.26094987,28.74497,35.91,7260,12,Q1,2.375337371,NO,1997
4/1/1997,3727.10468,1002463664,43.57744454,0.421849123,435.8588685,409.4944073,7.21E+12,9.825000286,1696.496333,8.680900441,41.32616169,28.0575675,35.82,7740,10,Q2,2.300519893,NO,1997
7/1/1997,3787.112313,1007110079,44.27566938,0.428435765,465.3063499,407.0048818,7.44E+12,10.05000019,1713.229273,10.19754726,42.15424585,27.370165,36.18,8576,10,Q3,1.610033475,NO,1997
10/1/1997,3909.700658,1011756493,45.30247062,0.430361092,471.3705431,435.3150689,7.76E+12,10.2750001,1729.962213,11.71419408,42.73222464,26.6827625,39.28,8608,9,Q4,3.236987303,NO,1997
1/1/1998,4083.238025,1016402907,47.06856875,0.439177059,478.1777004,424.5864217,8.15E+12,10.5,1746.695153,13.2308409,42.93100985,25.99536,39.5,8930,10.5,Q1,4.43863566,NO,1998
4/1/1998,4215.16769,1021046337,48.09536999,0.465726295,576.4296789,459.4882677,8.51E+12,10.4000001,1787.592703,11.09058593,43.35652551,27.060685,42.47,9101,9,Q2,3.231005976,NO,1998
7/1/1998,4399.268805,1025689767,51.0936296,0.488222213,579.5320559,515.1284245,9.01E+12,10.30000019,1828.490253,8.950330964,43.66245672,28.12601,42.49,8970,9,Q3,4.367586972,NO,1998
10/1/1998,4555.601812,1030333196,53.39366438,0.510211466,537.3839049,483.2593168,9.33E+12,10.20000029,1869.387803,6.810075994,44.02536337,29.191335,42.48,9058,9,Q4,3.553613428,NO,1998
1/1/1999,4612.087388,1034976626,51.29898985,0.473934265,563.0964858,523.7538783,9.74E+12,10.10000038,1910.285353,4.669821024,44.90508561,30.25666,42.43,9018,8,Q1,1.239914687,NO,1999
4/1/1999,4781.714063,1039602738,51.5043501,0.492984862,593.8692544,520.9307564,1.01E+13,10.07500029,1913.18913,4.504724259,45.84337119,31.2312,43.36,8580,8,Q2,3.677872108,NO,1999
7/1/1999,4879.701418,1044228849,52.53115134,0.508488806,644.2301704,579.7448311,1.05E+13,10.05000019,1916.092907,4.339627493,46.62810943,32.20574,43.61,8506,8,Q3,2.049209834,NO,1999
10/1/1999,4986.97504,1048854961,53.64009667,0.508792804,670.5150344,591.7888585,1.10E+13,10.0250001,1918.996684,4.174530728,46.97015827,33.18028,43.49,8091,8,Q4,2.198364452,NO,1999
1/1/2000,5173.075646,1053481072,53.18830413,0.501902163,759.0381996,618.0992998,1.11E+13,10,1921.900461,4.009433962,47.5674324,34.15482,43.62,8324,8,Q1,3.731733255,NO,2000
4/1/2000,5204.353484,1058082852,54.21510537,0.524600747,703.5066552,640.8371789,1.17E+13,10.125,1937.476047,3.928277286,48.74500654,32.01947,44.68,8176,7,Q2,0.604627515,NO,2000
7/1/2000,5309.940462,1062684631,54.70796996,0.519128767,751.0262356,694.9175099,1.20E+13,10.25,1953.051633,3.847120609,48.9903845,29.88412,46.07,7548,8,Q3,2.028820259,NO,2000
10/1/2000,5372.659641,1067286411,55.24190661,0.519331433,760.8253293,750.9591336,1.28E+13,10.375,1968.627218,3.765963933,49.61482619,27.74877,46.75,7565,8,Q4,1.181165395,NO,2000
1/1/2001,5460.484252,1071888190,54.74904201,0.509806134,771.7991095,735.6026123,1.30E+13,10.5,1984.202804,3.684807256,49.69622234,25.61342,46.64,7321,7,Q1,1.634657994,NO,2001
4/1/2001,5605.520574,1076463482,55.69369915,0.530579391,797.7928119,751.8819638,1.37E+13,10.3499999,1999.561041,3.861655378,49.96494729,24.9334475,47.04,7070,7,Q2,2.656107327,NO,2001
7/1/2001,5709.193234,1081038774,57.25443703,0.534936709,802.0799154,714.4129579,1.41E+13,10.19999981,2014.919279,4.038503501,50.15925387,24.253475,47.86,6963,7,Q3,1.849474251,NO,2001
10/1/2001,5880.066385,1085614066,57.87051778,0.543651344,743.7572358,730.057565,1.46E+13,10.04999971,2030.277516,4.215351623,50.86872752,23.5735025,48.18,6946,6.5,Q4,2.992947416,NO,2001
1/1/2002,5946.285395,1090189358,57.54194138,0.532302052,779.3291507,754.127904,1.49E+13,9.899999619,2045.635753,4.392199745,51.37035565,22.89353,48.8,7045,6.5,Q1,1.126160919,NO,2002
4/1/2002,6063.261421,1094734413,58.19909417,0.541118019,876.7176844,877.6168092,1.59E+13,9.674999714,2070.665825,4.245616289,52.22487709,28.3077,48.87,7265,6.5,Q2,1.967211778,NO,2002
7/1/2002,6190.594154,1099279468,59.55447181,0.549021991,933.383755,902.9223393,1.65E+13,9.449999809,2095.695896,4.099032833,53.25185419,33.72187,48.38,6880,6.5,Q3,2.100069976,NO,2002
10/1/2002,6226.594001,1103824522,59.9651923,0.548819325,943.1326484,911.597669,1.70E+13,9.224999905,2120.725968,3.952449378,53.81082621,39.13604,48.03,6423,6.25,Q4,0.581524904,NO,2002
1/1/2003,6443.795028,1108369577,59.71876,0.539902024,1061.796059,915.8865671,1.71E+13,9,2145.756039,3.805865922,54.66232173,44.55021,47.55,6208,6.25,Q1,3.488279908,NO,2003
4/1/2003,6664.858145,1112882013,60.95092149,0.553379308,1043.131596,934.2422018,1.79E+13,9.025000095,2188.652745,3.796209061,55.32751388,45.10766,46.47,6259,6,Q2,3.430635458,NO,2003
7/1/2003,6842.669791,1117394449,61.56700223,0.549832654,1062.328182,1002.865685,1.84E+13,9.050000191,2231.549451,3.786552201,56.79597279,45.66511,45.85,6382,6,Q3,2.667898432,NO,2003
10/1/2003,7174.148052,1121906885,61.97772273,0.558344623,1069.838143,1102.736482,1.92E+13,9.075000286,2274.446156,3.77689534,57.61242156,46.22256,45.605,6566,6,Q4,4.844282579,NO,2003
